benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
wine_benchmark_0044.csv,LOF,0.508,0.4074,0.5271,0.473
wine_benchmark_0044.csv,CBLOF,0.4978,0.3603,0.5065,0.3803
wine_benchmark_0045.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0045.csv,KNN,0.5136,0.4276,0.486,0.3108
wine_benchmark_0045.csv,IForest,0.5114,0.4175,0.4939,0.3472
wine_benchmark_0045.csv,HBOS,0.5151,0.4343,0.4936,0.3433
wine_benchmark_0045.csv,LOF,0.5158,0.4377,0.4957,0.3562
wine_benchmark_0045.csv,CBLOF,0.4903,0.3199,0.4687,0.2439
wine_benchmark_0046.csv,ABOD,0.4999,0.367,0.5052,0.3636
wine_benchmark_0046.csv,KNN,0.5093,0.4108,0.5162,0.411
wine_benchmark_0046.csv,IForest,0.497,0.3535,0.493,0.3077
wine_benchmark_0046.csv,HBOS,0.5129,0.4276,0.5092,0.3784
wine_benchmark_0046.csv,LOF,0.5078,0.404,0.5081,0.3718
wine_benchmark_0046.csv,CBLOF,0.5071,0.4007,0.5012,0.3429
wine_benchmark_0047.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0047.csv,KNN,0.5133,0.4343,0.5119,0.4394
wine_benchmark_0047.csv,IForest,0.5039,0.3906,0.5223,0.48
wine_benchmark_0047.csv,HBOS,0.5025,0.3838,0.5241,0.4868
wine_benchmark_0047.csv,LOF,0.5061,0.4007,0.5044,0.4
wine_benchmark_0047.csv,CBLOF,0.5104,0.4209,0.5144,0.4493
wine_benchmark_0048.csv,ABOD,0.5112,0.4411,0.5129,0.4426
wine_benchmark_0048.csv,KNN,0.5154,0.4613,0.509,0.4143
wine_benchmark_0048.csv,IForest,0.509,0.431,0.5034,0.3846
wine_benchmark_0048.csv,HBOS,0.5055,0.4141,0.5026,0.3816
wine_benchmark_0048.csv,LOF,0.5097,0.4343,0.5011,0.375
wine_benchmark_0048.csv,CBLOF,0.5097,0.4343,0.5022,0.3803
wine_benchmark_0049.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0049.csv,KNN,0.5167,0.4343,0.5147,0.4337
wine_benchmark_0049.csv,IForest,0.4961,0.3401,0.5071,0.4024
wine_benchmark_0049.csv,HBOS,0.5013,0.3636,0.5063,0.4028
wine_benchmark_0049.csv,LOF,0.5174,0.4377,0.5129,0.4222
wine_benchmark_0049.csv,CBLOF,0.502,0.367,0.5056,0.3974
wine_benchmark_0050.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0050.csv,KNN,0.5118,0.4209,0.518,0.4744
wine_benchmark_0050.csv,IForest,0.5009,0.3704,0.5054,0.4203
wine_benchmark_0050.csv,HBOS,0.5045,0.3872,0.4935,0.3582
wine_benchmark_0050.csv,LOF,0.5096,0.4108,0.5141,0.4557
wine_benchmark_0050.csv,CBLOF,0.5045,0.3872,0.517,0.4643
wine_benchmark_0051.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0051.csv,KNN,0.5091,0.4007,0.5113,0.4138
wine_benchmark_0051.csv,IForest,0.5047,0.3805,0.5019,0.3571
wine_benchmark_0051.csv,HBOS,0.5098,0.404,0.5085,0.3846
wine_benchmark_0051.csv,LOF,0.5018,0.367,0.5066,0.3784
wine_benchmark_0051.csv,CBLOF,0.5123,0.4155,0.5051,0.375
wine_benchmark_0052.csv,ABOD,0.5019,0.3805,0.5101,0.4066
wine_benchmark_0052.csv,KNN,0.5113,0.4242,0.5076,0.4026
wine_benchmark_0052.csv,IForest,0.5149,0.4411,0.5125,0.4186
wine_benchmark_0052.csv,HBOS,0.5156,0.4444,0.5073,0.4
wine_benchmark_0052.csv,LOF,0.5084,0.4108,0.504,0.3867
wine_benchmark_0052.csv,CBLOF,0.5134,0.4343,0.5082,0.4085
wine_benchmark_0053.csv,ABOD,0.5,0.0,0.5,0.0
